Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2014,rnk_2013,rnk_2014,stDev,odds_0728
Florida Atlantic,-0.2,-0.135,-0.045666667,-0.019333333,175.8,-0.151,-0.054,-0.079,0.042,-0.017,200.2,-0.048,-0.078167218,71,88,-1.269493978,10000
Middle Tennessee,-0.184333333,-0.078,-0.107,0.000666667,178.6,-0.139,-0.098,-0.049,-0.045,-0.004,189.4,-0.058,-0.079213905,84,89,-1.172309815,10000
N.C. State,-0.042,-0.053,0.017,-0.006,196.8,-0.027666667,-0.126,-0.097,-0.029,0,192.5,-0.13,-0.079471479,90,90,-0.289381354,10000
Rutgers,0.031,-0.054,0.067666667,0.017666667,201.3333333,0.037,-0.124,-0.071,-0.085,0.033,185.1,-0.118,-0.081516948,89,91,0.163455491,10000
Hawaii,-0.151333333,-0.102,-0.062333333,0.013333333,180.4666667,-0.132,-0.087,-0.089,-0.007,0.01,186.6,-0.079,-0.090854263,80,92,-0.967602748,10000
Ohio,-0.078666667,-0.035,-0.06,0.015666667,193.7,-0.070666667,-0.202,-0.097,-0.128,0.023,184.2,-0.19,-0.109825887,101,93,-0.516833651,10000
Temple,-0.041333333,-0.002,-0.050333333,0.011333333,199,-0.028333333,-0.161,-0.002,-0.136,-0.022,179.7,-0.07,-0.110762529,96,94,-0.285245858,10000
Louisiana Tech,-0.053666667,-0.025333333,-0.041666667,0.013666667,197.1333333,-0.020333333,-0.264,-0.151,-0.11,-0.003,161.3,-0.183,-0.11349415,109,95,-0.361752539,10000
Kentucky,-0.16,-0.082333333,-0.073666667,-0.003666667,184.9,-0.123333333,-0.161,-0.033,-0.12,-0.008,185.3,-0.121,-0.118134273,95,96,-1.0213642,10000
Connecticut,-0.039333333,-0.099333333,0.059666667,0,194.3666667,-0.029333333,-0.132,-0.119,0.01,-0.023,183.6,-0.113,-0.120763248,91,97,-0.272839369,10000
Colorado,-0.245,-0.090666667,-0.12,-0.033666667,171.6666667,-0.197333333,-0.148,-0.067,-0.062,-0.019,181.9,-0.152,-0.126875863,93,98,-1.548639979,10000
Kansas,-0.202,-0.117,-0.06,-0.025333333,174.1666667,-0.159,-0.19,-0.185,-0.005,0,170,-0.137,-0.132418403,99,99,-1.281900467,10000
California,-0.07,-0.04,-0.018,-0.011333333,200.2666667,-0.064666667,-0.202,-0.067,-0.1,-0.034,179.9,-0.166,-0.1339458,102,100,-0.463072199,10000
Troy,-0.168,-0.029666667,-0.129333333,-0.009,184.4666667,-0.137666667,-0.207,0.003,-0.206,-0.003,183.3,-0.158,-0.142254932,103,101,-1.070990156,10000
Wyoming,-0.188,-0.04,-0.11,-0.038,182.3,-0.139666667,-0.199,-0.04,-0.103,-0.056,184.4,-0.146,-0.14451554,100,102,-1.195055045,10000
UL-Monroe,-0.138666667,-0.046333333,-0.06,-0.032,187.3,-0.094333333,-0.234,-0.112,-0.069,-0.053,176.6,-0.167,-0.147198676,106,103,-0.889028318,10000
Army,-0.176,-0.027,-0.126666667,-0.022666667,178.6333333,-0.153,-0.176,-0.027,-0.13,-0.019,171.8,-0.127,-0.151383749,98,104,-1.120616111,10000
Kent State,-0.09,-0.100333333,-0.004333333,0.014333333,193,-0.081,-0.208,-0.07,-0.132,-0.005,177.4,-0.134,-0.161094098,104,105,-0.587137088,10000
