Tm,Yr,1D,2sh,2mid,2lng,2D,3sh,3mid,3lng,3D,all
MIA,2010,0.02,0.075,-0.092,0.025,-0.007,-0.05,0.237,-0.219,0.004,0.007
KC,2010,0.088,0.079,-0.002,-0.007,0.012,-0.222,0.237,0.024,0.014,0.044
JAC,2010,0.116,-0.024,0.009,0.02,0.008,-0.059,-0.128,0.067,-0.054,0.039
IND,2010,0.038,0.063,0.331,0.313,0.27,0.225,-0.142,0.139,0.065,0.131
HOU,2010,0.13,0.337,0.275,0.405,0.347,0.244,0.09,0.277,0.192,0.217
GB,2010,0.139,-0.257,0.049,0.36,0.103,-0.146,0.092,0.616,0.089,0.115
DET,2010,-0.091,-0.115,-0.128,-0.055,-0.087,0.027,0.542,0.158,0.242,-0.008
DEN,2010,0.018,0.029,0.072,0.337,0.195,-0.313,-0.556,0.242,-0.259,0.021
DAL,2010,-0.062,-0.077,-0.075,-0.268,-0.164,0.064,0.011,0.459,0.156,-0.047
CLE,2010,0.001,0.17,-0.401,0.104,-0.042,0.086,-0.041,-0.62,-0.162,-0.05
CIN,2010,0.047,0.031,0.039,-0.106,-0.027,-0.164,0.071,0.391,0.027,0.017
CHI,2010,-0.096,-0.08,-0.012,-0.087,-0.059,-0.164,-0.178,-1.069,-0.452,-0.158
CAR,2010,-0.417,0.357,-0.268,-0.616,-0.381,-0.227,-0.245,-0.193,-0.226,-0.358
BUF,2010,-0.144,-0.236,-0.229,-0.096,-0.159,-0.324,0.155,-0.222,-0.126,-0.145
BAL,2010,0.002,0.345,-0.116,0.248,0.158,-0.364,-0.031,0.49,-0.018,0.054
ATL,2010,-0.075,0.023,0.144,0.057,0.073,0.255,0.363,0.538,0.36,0.08
ARI,2010,-0.254,-0.177,-0.129,-0.562,-0.355,-0.203,-0.457,-1.046,-0.554,-0.356
WAS,2009,-0.037,-0.023,0.02,-0.225,-0.111,0.017,-0.602,0.271,-0.124,-0.083
TEN,2009,0.043,-0.037,-0.206,-0.27,-0.215,0.16,0.415,0.731,0.423,0.042
TB,2009,-0.207,-0.525,-0.167,-0.044,-0.15,-0.148,-0.586,0.139,-0.229,-0.193
STL,2009,-0.315,-0.104,-0.114,-0.234,-0.171,-0.191,-0.452,-0.724,-0.434,-0.295
SF,2009,-0.133,-0.193,-0.067,-0.379,-0.263,0.452,0.021,-0.481,0.013,-0.141
SEA,2009,-0.044,0.005,-0.06,-0.435,-0.222,-0.265,-0.426,-0.685,-0.439,-0.196
SD,2009,-0.018,0.172,0.293,0.541,0.39,0.037,0.209,0.908,0.33,0.197
PIT,2009,0.132,-0.001,-0.062,0.581,0.252,-0.215,0.237,-0.009,-0.011,0.144
PHI,2009,0.241,-0.36,-0.107,0.261,0.019,0.081,-0.396,0.294,-0.055,0.097
OAK,2009,-0.256,-0.477,-0.11,-0.227,-0.234,-0.032,-0.611,-0.198,-0.297,-0.258
NYJ,2009,-0.065,0.17,-0.17,-0.29,-0.193,0.101,-0.143,-0.462,-0.131,-0.125
NYG,2009,0.062,0.155,0.023,-0.155,-0.025,0.09,0.442,0.44,0.315,0.087
NO,2009,0.33,0.207,0.271,0.022,0.153,-0.098,0.727,-0.08,0.217,0.243
NE,2009,0.262,0.406,0.222,0.284,0.282,0.08,0.129,0.807,0.237,0.264
MIN,2009,0.074,-0.064,0.383,0.098,0.15,0.226,-0.05,0.481,0.202,0.129
MIA,2009,-0.024,0.126,-0.037,-0.195,-0.073,0.384,0.443,-0.07,0.312,0.041
KC,2009,-0.155,0.202,-0.248,-0.265,-0.171,-0.263,-0.238,-0.199,-0.235,-0.18
JAC,2009,-0.003,0.04,-0.171,-0.057,-0.076,0.053,0.086,0.976,0.266,0.038
IND,2009,0.139,0.088,-0.314,0.36,0.051,0.18,0.455,0.734,0.409,0.168
HOU,2009,0.181,-0.255,0.096,0.174,0.079,-0.099,-0.048,0.117,-0.036,0.099
GB,2009,0.042,0.179,0.123,0.076,0.11,0.374,0.692,0.905,0.636,0.188
DET,2009,-0.251,-0.205,-0.274,-0.161,-0.207,-0.372,-0.231,-0.895,-0.441,-0.284
DEN,2009,-0.005,0.097,-0.011,0.043,0.032,-0.033,-0.107,0.363,0.015,0.013
DAL,2009,0.233,-0.132,0.232,0.4,0.238,-0.128,0.458,0.156,0.144,0.217
CLE,2009,-0.061,-0.2,-0.086,-0.259,-0.19,0.072,-0.291,-0.812,-0.289,-0.164
CIN,2009,-0.083,0.076,0.026,0.079,0.061,0.016,-0.182,0.451,0.023,-0.009
CHI,2009,-0.178,-0.407,-0.292,0.181,-0.078,-0.216,-0.328,-0.802,-0.389,-0.197
CAR,2009,-0.136,0.159,0.286,0.177,0.215,-0.022,-0.082,-0.471,-0.155,-0.02
BUF,2009,-0.136,-0.014,-0.078,-0.171,-0.113,-0.194,-0.488,-0.875,-0.498,-0.207
BAL,2009,0.144,0.304,0.079,0.127,0.145,0.209,0.209,-0.32,0.067,0.128
ATL,2009,-0.069,-0.088,0.068,0.026,0.017,-0.023,0.474,0.658,0.344,0.059
ARI,2009,0.091,0.117,-0.003,0.227,0.13,0.133,-0.292,-0.208,-0.087,0.068
WAS,2008,-0.008,0.366,0.175,0.244,0.235,-0.221,-0.023,0.416,0.006,0.082
TEN,2008,-0.001,0.123,-0.151,0.163,0.04,0.04,0.358,-0.164,0.112,0.04
TB,2008,0.132,0.29,-0.218,-0.112,-0.088,-0.196,-0.24,0.195,-0.122,-0.005
STL,2008,-0.29,-0.141,-0.063,-0.362,-0.219,-0.328,-0.445,-0.294,-0.364,-0.282
SF,2008,-0.153,-0.017,-0.294,-0.245,-0.214,-0.05,-0.287,0.22,-0.064,-0.156
SEA,2008,-0.171,0.085,0.024,-0.031,0.006,0.474,-0.409,-1.04,-0.324,-0.142
SD,2008,0.094,0.182,0.22,0.144,0.178,0.496,0.055,0.78,0.38,0.188
PIT,2008,0.025,0.023,0.163,0.13,0.13,-0.664,-0.022,-0.082,-0.301,-0.015
PHI,2008,0.003,-0.547,0.279,0.21,0.067,0.033,0.095,0.588,0.187,0.065
