Team,Year,f_yr-1,f_yr-2,f_yr-3,f_yr-4,f_yr-5,yr1_f
SMU,2011,-0.001,-0.042,-0.19,-0.155,,-0.006999999999999999
Nevada,2011,0.127,-0.11199999999999999,-0.033,-0.09699999999999999,,-0.009000000000000001
Arkansas State,2011,-0.026000000000000002,-0.193,-0.125,-0.11599999999999999,,-0.012
Wake Forest,2011,-0.17300000000000001,0.071,0.11900000000000001,0.065,,-0.013000000000000001
Auburn,2011,0.365,0.098,-0.025,0.20800000000000002,,-0.013000000000000001
Utah State,2011,-0.162,-0.16,-0.17,-0.249,,-0.015
Washington,2011,-0.03,-0.021,-0.284,0.047,,-0.022000000000000002
Air Force,2011,0.049,0.14400000000000002,-0.009000000000000001,0.027000000000000003,,-0.026000000000000002
Florida International,2011,0.004,-0.256,-0.16,-0.27699999999999997,,-0.027999999999999997
San Diego State,2011,0.10800000000000001,-0.18899999999999997,-0.258,-0.17300000000000001,,-0.032
Syracuse,2011,-0.024,-0.102,-0.134,-0.21600000000000003,,-0.033
Iowa State,2011,-0.10300000000000001,-0.081,-0.153,-0.156,,-0.036000000000000004
Navy,2011,0.021,0.10400000000000001,0.021,-0.027999999999999997,,-0.038
Boston College,2011,0.024,0.124,0.131,0.165,,-0.064
Duke,2011,-0.083,-0.052000000000000005,-0.065,-0.18899999999999997,,-0.076
Purdue,2011,-0.109,0.063,-0.049,0.005,,-0.078
Bowling Green,2011,-0.23,0.001,0.012,-0.154,,-0.081
Texas Tech,2011,0.006999999999999999,0.18600000000000003,0.207,0.14,,-0.08199999999999999
Arizona,2011,0.07400000000000001,0.11699999999999999,0.14300000000000002,0.102,,-0.08199999999999999
Miami (Ohio),2011,-0.155,-0.24100000000000002,-0.223,-0.18899999999999997,,-0.083
East Carolina,2011,-0.022000000000000002,0.044000000000000004,0.034,-0.034,,-0.094
San Jose State,2011,-0.24,-0.303,-0.131,-0.201,,-0.09699999999999999
UL-Lafayette,2011,-0.14800000000000002,-0.21600000000000003,-0.109,-0.196,,-0.098
Marshall,2011,-0.16399999999999998,-0.054000000000000006,-0.068,-0.092,,-0.106
