Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2013,rnk_2012,rnk_2013,act_2013
Central Michigan,-0.15,-0.041666667,-0.093333333,-0.014333333,181,-0.113666667,-0.157,-0.029,-0.121,-0.007,181.1,-0.143,-0.121309489,94,99,111
Louisiana Tech,0.001333333,0.008666667,-0.033333333,0.026666667,206.7333333,0.003333333,0.054,0.119,-0.096,0.031,216.1,0.054,0.03149544,52,53,112
Air Force,-0.050333333,0.014666667,-0.052666667,-0.012666667,198.3,-0.045333333,-0.174,-0.05,-0.096,-0.028,182.9,-0.128,-0.112910644,100,94,113
Purdue,-0.085333333,-0.077666667,-0.014666667,0.007,192.6666667,-0.091333333,-0.069,-0.064,-0.002,-0.003,197.4,-0.106,-0.081426694,76,84,114
UAB,-0.156,-0.038,-0.109,-0.009333333,182.2,-0.151,-0.15,-0.066,-0.097,0.013,183.3,-0.165,-0.118728781,91,97,115
Idaho,-0.216,-0.131666667,-0.078666667,-0.005333333,172.8333333,-0.185333333,-0.254,-0.165,-0.087,-0.002,165.4,-0.227,-0.189562913,117,113,116
Western Michigan,-0.043666667,0.003333333,-0.058333333,0.012,198.8,-0.034666667,-0.102,-0.021,-0.058,-0.022,187.8,-0.086,-0.068106513,85,82,117
UTEP,-0.153666667,-0.050333333,-0.119333333,0.016,181.0333333,-0.130333333,-0.156,-0.087,-0.087,0.018,177.8,-0.105,-0.102364248,93,92,119
Southern Miss,-0.021666667,-0.035,0.004,0.009,203.4333333,-0.014,-0.234,-0.123,-0.093,-0.019,171.8,-0.181,-0.124713675,115,101,120
New Mexico State,-0.314666667,-0.132666667,-0.144,-0.037666667,161.8333333,-0.260666667,-0.356,-0.145,-0.161,-0.05,156,-0.287,-0.276550329,119,120,122
Miami (Ohio),-0.138,-0.056,-0.061666667,-0.020666667,190.0666667,-0.125666667,-0.176,-0.029,-0.127,-0.02,181.6,-0.163,-0.138823158,101,104,123
Eastern Michigan,-0.22,-0.081,-0.116333333,-0.022666667,173.4666667,-0.177666667,-0.206,-0.082,-0.102,-0.022,171.3,-0.15,-0.163121803,109,111,124
Florida International,-0.047,-0.047666667,-1.16E-18,0.000666667,196.5666667,-0.04,-0.117,-0.07,-0.024,-0.022,189.9,-0.097,-0.097138432,89,91,125
